USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          40  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-kintegrityd]
root          41  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-kblockd]
root          42  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-blkcg_punt_bio]
root          43  0.0  0.0      0     0 ?        S    Jan30   0:00 [irq/9-acpi]
root          45  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-tpm_dev_wq]
root          46  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-ata_sff]
root          47  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-md]
root          48  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-md_bitmap]
root          49  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-edac-poller]
root          50  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-devfreq_wq]
root          51  0.0  0.0      0     0 ?        S    Jan30   0:00 [watchdogd]
root          52  0.0  0.0      0     0 ?        I<   Jan30   0:06 [kworker/0:1H-kblockd]
root          53  0.0  0.0      0     0 ?        S    Jan30  15:35 [kswapd0]
root          54  0.0  0.0      0     0 ?        S    Jan30   0:00 [ecryptfs-kthread]
root          55  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-kthrotld]
root          56  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-acpi_thermal_pm]
root          57  0.0  0.0      0     0 ?        S    Jan30   3:45 [hwrng]
root          58  0.0  0.0      0     0 ?        S    Jan30   0:00 [scsi_eh_0]
root          59  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-scsi_tmf_0]
root          60  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-nvme-wq]
root          61  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-nvme-reset-wq]
root          62  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-nvme-delete-wq]
root          63  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-nvme-auth-wq]
root          65  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-mld]
root          66  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-ipv6_addrconf]
root          73  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-kstrp]
root          76  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/u9:0]
root          89  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-charger_manager]
root          90  0.0  0.0      0     0 ?        S    Jan30   0:15 [jbd2/sda1-8]
root          91  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-ext4-rsv-conversion]
root         194  0.0  0.0      0     0 ?        S    Jan30   0:00 [psimon]
root         221  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-cryptd]
root         228  0.0  0.0      0     0 ?        S    Jan30   0:00 [jbd2/sda16-8]
root         229  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-ext4-rsv-conversion]
root        1259  0.0  0.0      0     0 ?        I<   Jan30   0:00 [kworker/R-tls-strp]
root      257820  0.0  0.0      0     0 ?        I<   Feb16   0:01 [kworker/1:2H-kblockd]
root      283672  0.0  0.0      0     0 ?        S    Feb17   0:00 [psimon]
root      285480  0.0  0.0      0     0 ?        I    Feb17   0:00 [kworker/u8:1-events_power_efficient]
root      289327  0.0  0.0      0     0 ?        I    Feb17   0:01 [kworker/0:0-events_freezable]
root      289894  0.0  0.0      0     0 ?        I    00:00   0:00 [kworker/1:1-events]
root      290268  0.0  0.0      0     0 ?        S    00:09   0:00 [psimon]
root      290311  0.0  0.0      0     0 ?        I    00:22   0:00 [kworker/1:0-cgroup_destroy]
root      290313  0.0  0.0      0     0 ?        I    00:22   0:00 [kworker/u8:2-events_unbound]
root      290339  0.0  0.0      0     0 ?        I    00:30   0:00 [kworker/u8:3-events_unbound]
root      291011  0.0  0.0      0     0 ?        I    00:55   0:00 [kworker/0:1-cgroup_destroy]
root      291083  0.0  0.0      0     0 ?        I    01:15   0:00 [kworker/u8:0-events_power_efficient]
